local_path,mirror_url,original_url,source_entity,catalog_rows,reference_urls,mime_type,bytes,sha256,downloaded_at
images/mplus-001.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-001.jpg,https://res.cloudinary.com/mplustms/image/upload/v1647571967/v2/prod/small/000501_001000/000768_003.jpg,M+ Collection,M+ Collection - Doors,https://www.mplus.org.hk/en/collection/objects/doors-20121515/,image/jpeg,113132,02132e3f94714c2a8943ac77cfe94a6a788be7651be6d7564cce2c427497a4b2,2026-06-24T04:44:01.165Z
images/mplus-002.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-002.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627901149/v2/prod/small/001001_001500/001445_003.jpg,M+ Collection,M+ Collection - Untitled 0096-005,https://www.mplus.org.hk/en/collection/objects/untitled-0096-005-20121666/,image/jpeg,156120,b024088a78801d93f958ae73f5d0348adeaaed5fbe8fa70f825d3b872622cc9b,2026-06-24T04:44:01.165Z
images/mplus-003.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-003.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627883609/v2/prod/small/001001_001500/001446_003.jpg,M+ Collection,M+ Collection - Untitled 0096-017,https://www.mplus.org.hk/en/collection/objects/untitled-0096-017-20121667/,image/jpeg,140055,c4a751eb3a67206a6f76795d1a18702374bd4da4da504cedcbda0f412a93d537,2026-06-24T04:44:01.165Z
images/mplus-004.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-004.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627883601/v2/prod/small/001001_001500/001447_003.jpg,M+ Collection,M+ Collection - Untitled 0096-023,https://www.mplus.org.hk/en/collection/objects/untitled-0096-023-20121668/,image/jpeg,60270,79933db940ad273d7356049702acd2f9dbca6a444592e1b1111904d697db2567,2026-06-24T04:44:01.165Z
images/mplus-005.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-005.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627883593/v2/prod/small/001001_001500/001448_003.jpg,M+ Collection,M+ Collection - Untitled 0096-026,https://www.mplus.org.hk/en/collection/objects/untitled-0096-026-20121669/,image/jpeg,152499,9319886611dbe61a697d6a97c88b6a6877601c4a2d2ea5b97e8ab7839c48e9c6,2026-06-24T04:44:01.165Z
images/mplus-006.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-006.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627883586/v2/prod/small/001001_001500/001449_005.jpg,M+ Collection,M+ Collection - Untitled 096-030,https://www.mplus.org.hk/en/collection/objects/untitled-096-030-20121670/,image/jpeg,158692,53b3ae2dd641bd49701db84996b2dc2cb014f45cdb328347887ce8ae60b51b3a,2026-06-24T04:44:01.165Z
images/mplus-007.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-007.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627883578/v2/prod/small/001001_001500/001450_003.jpg,M+ Collection,M+ Collection - Untitled 096-032,https://www.mplus.org.hk/en/collection/objects/untitled-096-032-20121671/,image/jpeg,142536,083a750fc89eff8e5dbea662ba8398f7d55942effa76f480cd4e2e35e2a18e6e,2026-06-24T04:44:01.165Z
images/mplus-008.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-008.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627883640/v2/prod/small/001001_001500/001451_003.jpg,M+ Collection,M+ Collection - Untitled 096-034,https://www.mplus.org.hk/en/collection/objects/untitled-096-034-20121672/,image/jpeg,61759,ccfaa57180adde9540185d4409350b4dea3ccbc6ff951d3de352fbd2f731d2d7,2026-06-24T04:44:01.165Z
images/mplus-009.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-009.jpg,https://res.cloudinary.com/mplustms/image/upload/v1646101785/v2/prod/small/000001_000500/000168_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-20137/,image/jpeg,186378,04bb83e95b7fe07bba699042cf00b594d114ec6a496c5b01ab84d3236bc99c75,2026-06-24T04:44:01.165Z
images/mplus-010.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-010.jpg,https://res.cloudinary.com/mplustms/image/upload/v1678676237/v2/prod/small/000001_000500/000169_005.jpg,M+ Collection,M+ Collection - Untitled (Partial Map of Kowloon),https://www.mplus.org.hk/en/collection/objects/untitled-partial-map-of-kowloon-201334/,image/jpeg,119664,a010e7926d9f9d7f48904b1e8ae812c7d1f5b0b115f25ab52a03077784c4da3b,2026-06-24T04:44:01.165Z
images/mplus-011.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-011.jpg,https://res.cloudinary.com/mplustms/image/upload/v1724382018/v2/prod/small/001501_002000/001699_001.jpg,M+ Collection,M+ Collection - Untitled (TTC_C49-00),https://www.mplus.org.hk/en/collection/objects/untitled-ttc-c49-00-2013243/,image/jpeg,143476,29a0df4fdf974f5c1e3692f1c81a8c59500402be5581a576e04d8cd210e07c81,2026-06-24T04:44:01.165Z
images/mplus-012.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-012.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627884072/v2/prod/small/001501_002000/001700_003.jpg,M+ Collection,M+ Collection - Untitled (TT-C47-00),https://www.mplus.org.hk/en/collection/objects/untitled-tt-c47-00-2013244/,image/jpeg,187336,a5fdd5e70805cefbe17a000be3b38301986095b8e1d06ef0d6075442d0a9f127,2026-06-24T04:44:01.165Z
images/mplus-013.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-013.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627828901/v2/prod/small/001501_002000/001701_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013245/,image/jpeg,161089,6a77faa18e72ac4e9d3b3849eddd218ef5c8f6ee781471b992d2e4a54e1053c1,2026-06-24T04:44:01.165Z
images/mplus-014.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-014.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627828923/v2/prod/small/001501_002000/001702_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013246/,image/jpeg,170591,4fed150c4c6bf5c9d55dc23d6d3519e0347e4ae8162bb3c29c8735a51608473e,2026-06-24T04:44:01.165Z
images/mplus-015.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-015.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627828931/v2/prod/small/001501_002000/001703_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013247/,image/jpeg,169432,eefd64c67e4753e7069c261d41d3e68abbe2bb48b3463a9152a57726eb00b7c6,2026-06-24T04:44:01.165Z
images/mplus-016.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-016.jpg,https://res.cloudinary.com/mplustms/image/upload/v1724382458/v2/prod/small/001501_002000/001705_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013248/,image/jpeg,159520,eefc639a2ab4b21e81c208b5a50b7b299142f1c08df2b6f9a08247153f6a8391,2026-06-24T04:44:01.165Z
images/mplus-017.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-017.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627828967/v2/prod/small/001501_002000/001706_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013249/,image/jpeg,265597,ed911a6203988a5353762e7203ff811199dc6533af5de63b5545342568807a34,2026-06-24T04:44:01.165Z
images/mplus-018.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-018.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627828982/v2/prod/small/001501_002000/001707_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013250/,image/jpeg,272481,79ded010a1367033980d34899e90efd1549b6dc01d8c59a5e1106b608ad4a927,2026-06-24T04:44:01.165Z
images/mplus-019.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-019.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627828990/v2/prod/small/001501_002000/001708_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013251/,image/jpeg,179366,aaa2e5afb8000a83bea65b778045018b277b7289548ed4c1db0d0bb93d85b01e,2026-06-24T04:44:01.165Z
images/mplus-020.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-020.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627829004/v2/prod/small/001501_002000/001709_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013252/,image/jpeg,183728,d68a60b580b41c62b635063dbb60de03043e4b6466baf69cf96b9b517b9bd70d,2026-06-24T04:44:01.165Z
images/mplus-021.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-021.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627829018/v2/prod/small/001501_002000/001710_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013253/,image/jpeg,203976,3189733dc344de083e6cca29e6b92af7413fd440ed228ccea3c42568f873d06b,2026-06-24T04:44:01.165Z
images/mplus-022.jpg,https://angusyeet.com/tsang-tsou-choi-catalog/images/mplus-022.jpg,https://res.cloudinary.com/mplustms/image/upload/v1627829033/v2/prod/small/001501_002000/001711_001.jpg,M+ Collection,M+ Collection - Untitled,https://www.mplus.org.hk/en/collection/objects/untitled-2013309/,image/jpeg,173959,2dd8d585cc471bc9cb3f8b1ad6cbcef5e1f81257bb6d8fe520d797145cd4b99a,2026-06-24T04:44:01.165Z
